                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.00827,                0.99666,                 1.1563,                0.99271,                0.97267,                0.98483,                0.88405,                0.00659,                0.51628,                0.95908,              0.0017825,              0.0017825,              0.0017825
                    132,                0.00827,                 1.0107,                 1.1587,                0.99271,                0.97214,                0.98457,                0.88379,                0.00659,                0.51544,                0.95828,              0.0017577,              0.0017577,              0.0017577
                    133,                0.00826,                 1.0146,                 1.1575,                0.99271,                0.97214,                0.98459,                0.88356,                 0.0066,                0.51482,                0.95788,               0.001733,               0.001733,               0.001733
                    134,                0.00829,                 1.0115,                 1.1629,                0.99271,                0.97214,                0.98459,                 0.8833,                 0.0066,                0.51544,                0.95789,              0.0017082,              0.0017082,              0.0017082
                    135,                0.00821,                0.99758,                 1.1597,                0.99271,                0.97214,                0.98461,                0.88351,                 0.0066,                0.51475,                0.95745,              0.0016835,              0.0016835,              0.0016835
                    136,                0.00818,                0.98545,                 1.1546,                0.99271,                0.97214,                0.98461,                0.88394,                0.00659,                0.51407,                  0.957,              0.0016588,              0.0016588,              0.0016588
                    137,                0.00817,                0.97945,                 1.1409,                0.99271,                0.97214,                0.98461,                0.88393,                0.00659,                0.51387,                0.95681,               0.001634,               0.001634,               0.001634
                    138,                0.00821,                0.98745,                 1.1543,                0.99271,                0.97214,                0.98463,                  0.884,                0.00659,                0.51392,                0.95653,              0.0016092,              0.0016092,              0.0016092
                    139,                0.00816,                0.97434,                 1.1466,                0.99271,                0.97214,                 0.9846,                0.88425,                0.00659,                0.51551,                0.95649,              0.0015845,              0.0015845,              0.0015845
                    140,                0.00815,                  0.973,                 1.1477,                0.99271,                0.97214,                0.98463,                0.88454,                0.00659,                0.51558,                0.95644,              0.0015598,              0.0015598,              0.0015598
                    141,                0.00802,                0.96097,                 1.1475,                0.99271,                0.97214,                0.98462,                0.88455,                0.00658,                0.51363,                0.95584,               0.001535,               0.001535,               0.001535
                    142,                 0.0081,                0.98076,                 1.1468,                0.99271,                0.97214,                0.98464,                0.88514,                0.00657,                0.51272,                0.95514,              0.0015103,              0.0015103,              0.0015103
                    143,                0.00811,                0.96555,                 1.1456,                0.99271,                0.97214,                0.98465,                0.88472,                0.00657,                0.51145,                0.95508,              0.0014855,              0.0014855,              0.0014855
                    144,                0.00803,                0.96069,                 1.1381,                0.99272,                0.97214,                0.98465,                0.88565,                0.00657,                0.51149,                0.95476,              0.0014608,              0.0014608,              0.0014608
                    145,                0.00804,                0.96576,                 1.1407,                0.99271,                0.97214,                0.98464,                0.88641,                0.00656,                0.50909,                 0.9545,               0.001436,               0.001436,               0.001436
                    146,                0.00802,                0.94961,                 1.1387,                0.99271,                0.97214,                0.98463,                0.88639,                0.00656,                0.50859,                0.95389,              0.0014112,              0.0014112,              0.0014112
                    147,                0.00791,                0.93891,                  1.137,                0.99271,                0.97214,                0.98463,                 0.8864,                0.00655,                  0.508,                0.95348,              0.0013865,              0.0013865,              0.0013865
                    148,                0.00791,                0.95032,                 1.1346,                0.99271,                0.97214,                0.98462,                0.88611,                0.00655,                0.50765,                0.95313,              0.0013618,              0.0013618,              0.0013618
                    149,                0.00803,                0.96321,                 1.1473,                  0.992,                0.97267,                0.98487,                0.88676,                0.00655,                0.50792,                0.95288,               0.001337,               0.001337,               0.001337
                    150,                0.00791,                0.93501,                 1.1386,                  0.992,                0.97267,                0.98487,                0.88675,                0.00654,                0.50837,                0.95252,              0.0013123,              0.0013123,              0.0013123
                    151,                0.00798,                0.95228,                 1.1425,                  0.992,                0.97267,                0.98488,                0.88776,                0.00654,                0.50788,                0.95203,              0.0012875,              0.0012875,              0.0012875
